iter	RMSE
136	6918.052852
137	6915.673196
138	6909.416558
139	6900.901554
140	6892.808436
141	6884.795706
142	6875.853826
143	6871.514994
144	6863.213572
145	6861.233883
146	6852.390639
147	6844.063424
148	6837.0501
149	6827.192938
150	6818.058481
151	6806.75524
152	6801.110539
153	6794.608813
154	6786.939657
155	6777.240735
156	6769.408628
157	6761.864877
158	6752.8408
159	6743.434198
160	6737.740361
161	6730.835439
162	6729.526944
163	6723.676459
164	6719.454028
165	6717.000641
166	6712.619213
167	6706.90048
168	6701.694244
169	6693.983037
170	6688.015666
171	6679.558303
172	6672.329278
173	6666.605641
174	6657.098587
175	6642.721708
176	6640.818953
177	6632.126716
178	6620.242833
179	6612.568081
180	6608.626114
181	6600.987393
182	6597.321943
183	6594.972138
184	6592.767237
185	6589.606457
186	6581.547011
187	6577.176879
188	6574.797475
189	6567.593723
190	6565.654412
191	6558.135343
192	6552.872525
193	6543.126286
194	6534.489709
195	6532.450486
196	6529.384157
197	6527.298436
198	6516.476105
199	6509.289658
200	6506.362365
201	6501.214826
202	6491.213176
203	6488.00782
204	6485.404656
205	6477.394698
206	6467.683152
207	6465.721627
208	6458.05803
209	6456.136721
210	6454.249999
211	6443.579711
212	6436.526128
213	6434.599799
214	6427.3152
215	6419.968196
216	6412.063818
217	6405.244397
218	6397.097352
219	6395.399696
220	6390.336519
221	6379.351496
222	6375.018368
223	6366.721251
224	6360.148046
225	6354.757833
226	6349.685849
227	6345.354806
228	6340.387362
229	6338.617915
230	6331.078573
231	6329.393144
232	6322.781054
233	6316.577288
234	6310.406149
235	6305.241918
236	6299.430295
237	6297.907701
238	6290.387129
239	6288.682187
240	6287.094057
241	6280.334875
242	6273.84022
243	6268.384495
244	6263.597431
245	6262.042779
246	6260.47433
247	6254.485522
248	6252.99409
249	6243.022391
250	6238.950047
251	6229.740559
252	6225.054701
253	6220.408305
254	6218.942802
255	6212.803344
256	6207.906805
257	6206.478814
258	6196.129513
259	6191.568817
260	6185.29708
261	6179.668638
262	6177.325538
263	6173.603237
264	6172.216831
265	6168.01539
266	6166.662214
267	6161.182371
268	6154.209327
269	6150.645338
270	6143.844836
271	6142.513045
272	6138.587287
273	6133.755857
274	6128.419306
275	6120.53649
276	6117.036671
277	6115.045881
278	6108.119176
279	6099.239213
280	6090.904053
281	6088.711518
282	6082.501314
283	6081.231117
284	6076.296208
285	6073.890373
286	6064.410288
287	6060.418792
288	6059.106263
289	6056.918495
290	6051.933884
291	6047.306737
292	6043.831865
293	6036.748301
294	6035.471715
295	6034.287022
296	6025.794791
297	6024.641626
298	6018.503432
299	6012.00162
300	6008.171491
301	6001.355258
302	5996.746494
303	5989.916209
304	5983.949418
305	5980.328426
306	5976.472595
307	5974.240555
308	5968.959744
309	5964.691997
310	5963.555406
311	5958.138156
312	5954.831005
313	5950.988625
314	5939.961674
315	5934.799366
316	5928.972025
317	5927.091982
318	5918.395827
319	5913.321097
320	5910.134514
321	5903.502922
322	5899.445801
323	5895.514463
324	5893.267967
325	5883.778195
326	5882.618478
327	5881.527134
328	5874.982807
329	5873.913779
330	5870.435661
331	5863.855191
332	5853.159503
333	5848.582245
334	5847.536094
335	5840.015423
336	5836.369364
337	5830.907904
338	5826.041887
339	5823.881162
340	5820.288654
341	5817.278965
342	5810.995238
343	5805.491491
344	5802.691151
345	5799.738298
346	5798.634324
347	5796.363376
348	5794.299512
349	5785.228357
350	5771.440555
351	5765.440634
352	5761.496879
353	5760.503142
354	5756.771283
355	5752.841584
356	5746.367311
357	5743.577371
358	5741.238442
359	5737.474744
360	5734.995284
361	5730.764831
362	5725.15185
363	5719.748002
364	5714.419133
365	5712.120441
366	5705.419404
367	5700.734156
368	5695.852209
369	5692.649835
370	5682.470275
371	5681.427858
372	5680.390983
373	5675.440457
374	5672.255612
375	5666.477667
376	5662.27173
377	5659.771481
378	5653.877602
379	5649.615843
380	5647.035357
381	5645.983726
382	5641.975651
383	5639.620786
384	5637.431657
385	5634.559277
386	5626.522825
387	5623.602016
388	5622.61303
389	5616.446157
390	5604.348699
391	5602.518051
392	5600.155901
393	5599.165113
394	5593.956871
395	5591.4919
396	5588.641049
397	5582.918277
398	5578.696891
399	5577.682262
400	5575.539579
401	5574.54133
402	5569.813574
403	5567.571047
404	5566.683624
405	5563.712937
406	5561.39507
407	5556.588817
408	5554.675679
409	5549.53148
410	5547.052744
411	5546.070845
412	5540.459451
413	5535.862284
414	5533.614055
415	5529.231095
416	5526.664337
417	5522.025126
418	5515.761244
419	5513.820407
420	5511.96283
421	5502.877949
422	5501.900713
423	5499.1684
424	5493.275662
425	5490.31313
426	5481.410786
427	5478.290986
428	5475.02355
429	5471.322743
430	5469.133939
431	5462.399367
432	5461.478219
433	5459.52757
434	5458.573889
435	5454.911712
436	5453.403576
437	5451.595629
438	5449.044677
439	5448.111004
440	5446.031291
441	5444.546193
442	5442.237255
443	5440.810549
444	5438.160297
445	5434.667555
446	5432.405895
447	5430.563111
448	5427.0042
449	5421.891849
450	5418.455963
451	5416.071141
452	5414.573585
453	5413.677408
454	5406.380563
455	5396.28473
456	5392.425697
457	5383.060266
458	5381.427902
459	5377.239763
460	5371.394807
461	5366.700199
462	5362.173058
463	5361.295559
464	5357.997309
465	5354.444734
466	5351.376601
467	5350.46688
468	5348.436203
469	5345.76614
470	5344.878235
471	5343.556269
472	5341.623309
473	5338.180392
474	5334.775723
475	5333.004343
476	5330.919929
477	5328.459764
478	5321.924435
479	5321.083441
480	5317.550016
481	5316.265324
482	5315.409339
483	5314.555043
484	5311.461472
485	5309.902208
486	5307.94372
487	5307.089853
488	5306.304015
489	5297.638719
490	5296.808597
491	5290.963717
492	5287.787914
493	5278.822658
494	5276.649463
495	5274.338664
496	5270.342855
497	5269.53027
498	5263.890658
499	5260.128874
500	5256.798171
501	5255.313465
502	5252.665349
503	5248.059414
504	5245.051995
505	5242.780348
506	5242.023962
507	5240.57919
508	5237.784829
509	5231.574098
510	5228.130837
511	5227.380194
512	5226.14094
513	5222.416979
514	5220.506244
515	5215.779075
516	5213.765116
517	5213.021441
518	5211.864737
519	5206.852395
520	5205.418025
521	5201.837335
522	5197.10719
523	5194.321235
524	5190.570616
525	5187.525544
526	5186.746598
527	5182.635988
528	5181.866757
529	5180.111908
530	5179.39818
531	5178.362977
532	5177.653711
533	5173.633082
534	5172.46242
535	5171.723511
536	5170.545038
537	5163.821351
538	5161.042575
539	5159.108605
540	5157.96362
541	5155.868849
542	5153.554524
543	5151.938445
544	5150.835599
545	5148.384009
546	5147.644299
547	5145.110438
548	5143.170798
549	5139.761174
550	5134.173415
551	5130.197954
552	5129.462777
553	5128.738411
554	5127.407056
555	5124.896618
556	5121.089824
557	5120.377082
558	5117.662152
559	5111.066073
560	5107.907995
561	5104.486454
562	5103.548699
563	5102.834935
564	5098.938558
565	5096.795521
566	5093.730889
567	5091.267902
568	5088.389353
569	5081.082832
570	5078.299174
571	5076.652573
572	5075.152844
573	5074.478077
574	5073.769888
575	5070.801165
576	5069.567059
577	5068.8757
578	5065.191964
579	5064.126085
580	5062.41414
581	5057.582782
582	5056.896484
583	5056.001903
584	5051.422265
585	5048.863937
586	5048.189289
587	5046.636867
588	5039.916887
589	5037.288546
590	5029.582062
591	5026.642635
592	5018.785778
593	5011.699434
594	5008.457769
595	5005.344142
596	5002.056994
597	4996.132471
598	4992.397414
599	4991.719482
600	4990.707528
601	4983.97285
602	4982.988259
603	4976.70624
604	4969.746699
605	4969.080559
606	4966.647141
607	4962.458307
608	4957.315257
609	4951.982618
610	4951.16839
611	4950.509477
612	4948.60987
613	4947.955314
614	4944.945775
615	4943.789509
616	4940.426555
617	4937.186552
618	4930.066134
619	4926.974618
620	4920.958413
621	4920.307065
622	4918.90828
623	4918.066705
624	4915.046019
625	4911.785628
626	4907.304705
627	4906.659647
628	4905.180123
629	4904.251076
630	4903.614947
631	4901.439623
632	4897.789224
633	4892.795419
634	4892.163484
635	4886.402782
636	4885.018019
637	4883.615331
638	4876.670637
639	4873.58528
640	4871.673135
641	4867.475529
642	4862.589031
643	4861.16392
644	4860.536063
645	4855.561629
646	4853.489706
647	4850.465716
648	4847.273988
649	4846.649957
650	4846.035137
651	4845.136969
652	4841.016297
653	4836.649078
654	4833.87045
655	4830.343269
656	4828.562177
657	4827.950325
658	4824.200111
659	4823.592605
660	4819.694046
661	4816.906683
662	4814.075768
663	4811.522607
664	4806.354566
665	4802.791802
666	4799.144175
667	4798.54183
668	4795.786172
669	4792.497107
670	4791.9022
671	4785.343278
672	4784.465289
673	4782.443222
674	4779.310348
675	4778.718774
676	4776.61996
677	4775.35495
678	4774.461967
679	4769.213944
680	4766.58362
681	4762.36994
682	4760.938353
683	4756.142328
684	4755.02563
685	4753.732081
686	4753.1478
687	4750.245697
688	4749.097241
689	4746.437283
690	4742.307884
691	4739.849617
692	4738.431466
693	4735.849324
694	4735.000249
695	4732.930313
696	4732.351837
697	4731.781759
698	4731.217083
699	4729.782425
700	4725.731368
701	4722.093061
702	4720.498775
703	4717.062977
704	4713.650185
705	4712.898024
706	4710.273093
707	4705.841537
708	4705.314949
709	4704.506256
710	4699.677066
711	4697.437464
712	4696.878871
713	4696.328686
714	4693.805519
715	4691.65168
716	4690.578598
717	4685.84067
718	4684.490951
719	4683.944874
720	4681.920724
721	4677.455469
722	4674.908059
723	4674.127355
724	4671.656022
725	4669.931523
726	4664.323346
727	4662.963121
728	4661.298916
729	4660.758153
730	4658.399695
731	4656.957323
732	4656.168721
733	4655.633631
734	4654.885464
735	4650.475822
736	4646.698268
737	4644.649257
738	4641.664222
739	4641.129624
740	4637.843889
741	4636.432789
742	4635.906228
743	4630.626306
744	4629.757239
745	4627.110106
746	4626.621048
747	4624.017128
748	4620.926491
749	4620.409849
750	4619.593264
751	4614.300226
752	4611.854472
753	4609.791607
754	4606.181571
755	4603.182903
756	4599.487886
757	4598.160004
758	4597.502066
759	4593.558683
760	4591.262997
761	4590.214261
762	4588.441705
763	4582.473957
764	4579.682109
765	4579.168534
766	4575.426019
767	4574.627392
768	4574.117327
769	4572.677732
770	4572.173092
771	4571.072862
772	4570.574424
773	4567.150101
774	4564.376863
775	4559.305955
776	4556.46222
777	4555.964075
778	4552.467075
779	4551.646639
780	4547.947463
781	4547.455335
782	4543.844723
783	4540.333489
784	4535.725028
785	4530.77674
786	4530.061072
787	4527.607992
788	4526.692996
789	4524.628826
790	4523.972996
791	4523.083564
792	4522.582833
793	4518.920362
794	4517.823159
795	4515.387049
796	4512.161624
797	4509.354791
798	4508.872209
799	4508.394337
800	4503.78726
801	4502.167552
802	4499.832894
803	4498.385891
804	4496.240073
805	4494.835302
806	4493.750943
807	4493.278221
808	4491.425194
809	4488.370705
810	4485.417584
811	4484.946739
812	4482.078287
813	4481.145321
814	4480.449789
815	4479.982852
816	4478.017875
817	4477.553861
818	4474.42592
819	4472.803496
820	4470.558143
821	4469.594818
822	4469.136293
823	4468.463724
824	4466.953296
825	4466.499545
826	4462.88982
827	4460.87745
828	4457.046181
829	4454.470979
830	4452.331492
831	4449.96083
832	4448.626062
833	4448.174336
834	4444.058609
835	4439.626195
836	4438.995471
837	4438.118991
838	4437.701218
839	4433.865872
840	4432.900233
841	4430.769294
842	4430.304621
843	4428.427816
844	4427.49014
845	4424.938892
846	4423.940646
847	4421.080777
848	4420.64265
849	4420.188872
850	4419.532064
851	4417.609306
852	4415.599275
853	4412.40145
854	4411.783615
855	4407.961213
856	4405.118704
857	4402.484181
858	4400.19054
859	4399.751576
860	4399.12371
861	4398.505729
862	4396.706555
863	4396.280651
864	4395.852624
865	4395.42916
866	4392.881184
867	4391.185825
868	4390.25759
869	4389.839495
870	4387.020061
871	4384.282604
872	4382.320081
873	4381.397577
874	4380.434956
875	4380.018217
876	4379.282951
877	4376.549565
878	4376.141812
879	4374.536327
880	4373.715908
881	4370.985521
882	4370.576427
883	4368.419875
884	4367.769594
885	4365.446408
886	4363.742294
887	4362.17817
888	4360.117289
889	4358.433759
890	4358.031613
891	4356.835181
892	4355.454924
893	4348.77144
894	4348.332509
895	4346.431519
896	4344.34309
897	4341.305832
898	4340.908752
899	4339.853256
900	4339.423802
901	4336.993319
902	4336.570556
903	4334.954257
904	4334.569525
905	4334.159012
906	4331.28004
907	4328.823643
908	4327.911175
909	4327.361296
910	4325.214061
911	4324.086327
912	4322.496269
913	4322.120475
914	4321.521131
915	4321.125768
916	4320.735209
917	4320.354848
918	4319.971668
919	4316.919607
920	4316.128101
921	4315.61405
922	4312.213248
923	4308.931789
924	4305.669873
925	4305.292149
926	4304.129228
927	4303.757409
928	4303.394073
929	4298.664822
930	4298.331247
931	4294.544681
932	4290.285635
933	4286.624668
934	4285.94431
935	4284.545814
936	4284.188353
937	4282.056652
938	4280.111023
939	4278.993883
940	4276.478365
941	4272.865412
942	4272.310356
943	4270.430693
944	4267.735144
945	4266.882877
946	4266.530083
947	4261.981077
948	4261.632456
949	4259.982433
950	4259.442474
951	4255.774404
952	4254.427874
953	4253.614455
954	4252.736563
955	4251.452027
956	4249.505273
957	4245.542522
958	4241.480861
959	4240.692389
960	4240.343003
961	4239.660239
962	4238.760161
963	4237.512904
964	4233.101725
965	4231.75423
966	4230.358306
967	4228.40662
968	4226.438574
969	4225.855528
970	4222.488516
971	4221.972822
972	4220.329152
973	4219.130975
974	4216.297983
975	4214.627921
976	4214.121978
977	4212.638116
978	4210.096687
979	4209.759631
980	4207.790743
981	4206.468858
982	4205.973623
983	4205.002259
984	4201.915518
985	4200.385412
986	4196.625747
987	4194.435729
988	4193.127419
989	4192.228002
990	4191.895975
991	4188.955205
992	4185.723679
993	4184.079212
994	4183.739459
995	4180.930848
996	4180.593157
997	4179.824702
998	4179.502688
999	4178.74776
